iter	Passed	Remaining
275	2539	6661
276	2542	6636
277	2546	6612
278	2549	6588
279	2552	6563
280	2555	6539
281	2559	6516
282	2568	6506
283	2570	6481
284	2573	6457
285	2581	6445
286	2589	6433
287	2597	6420
288	2604	6407
289	2611	6394
290	2621	6387
291	2629	6375
292	2637	6363
293	2644	6350
294	2653	6340
295	2661	6329
296	2664	6307
297	2669	6287
298	2673	6267
299	2676	6245
300	2680	6224
301	2685	6206
302	2688	6184
303	2692	6163
304	2695	6141
305	2699	6121
306	2707	6112
307	2720	6111
308	2731	6108
309	2740	6100
310	2751	6095
311	2769	6106
312	2790	6123
313	2808	6135
314	2816	6123
315	2826	6117
316	2835	6108
317	2842	6096
318	2849	6083
319	2857	6072
320	2865	6061
321	2873	6049
322	2881	6039
323	2887	6023
324	2895	6013
325	2903	6003
326	2914	5998
327	2937	6019
328	2948	6014
329	2958	6005
330	2968	5999
331	2978	5993
332	2992	5993
333	3005	5992
334	3019	5993
335	3035	5998
336	3047	5994
337	3061	5995
338	3070	5986
339	3079	5977
340	3088	5968
341	3096	5957
342	3104	5946
343	3112	5935
344	3120	5925
345	3140	5936
346	3159	5945
347	3181	5959
348	3200	5969
349	3213	5968
350	3222	5958
351	3231	5949
352	3253	5963
353	3288	6001
354	3306	6007
355	3323	6013
356	3334	6005
357	3342	5993
358	3355	5990
359	3371	5993
360	3390	6001
361	3406	6003
362	3427	6014
363	3446	6022
364	3454	6009
365	3462	5998
366	3474	5992
367	3488	5991
368	3513	6007
369	3527	6007
370	3541	6004
371	3555	6001
372	3562	5988
373	3570	5976
374	3582	5971
375	3592	5962
376	3600	5949
377	3608	5937
378	3617	5927
379	3635	5931
380	3656	5940
381	3673	5943
382	3691	5946
383	3714	5957
384	3724	5950
385	3734	5940
386	3743	5929
387	3751	5917
388	3762	5909
389	3771	5898
390	3778	5884
391	3786	5872
392	3796	5863
393	3812	5864
394	3832	5869
395	3850	5872
396	3867	5875
397	3881	5871
398	3891	5861
399	3902	5853
400	3911	5843
401	3923	5836
402	3941	5839
403	3950	5828
404	3959	5816
405	3975	5815
406	3993	5818
407	4014	5824
408	4033	5827
409	4049	5826
410	4059	5817
411	4069	5808
412	4077	5794
413	4085	5782
414	4092	5769
415	4100	5756
416	4119	5759
417	4143	5768
418	4160	5768
419	4181	5774
420	4194	5769
421	4206	5761
422	4216	5751
423	4224	5739
424	4233	5727
425	4242	5716
426	4251	5705
427	4261	5695
428	4269	5682
429	4279	5673
430	4291	5665
431	4305	5660
432	4316	5652
433	4329	5646
434	4341	5638
435	4353	5631
436	4369	5629
437	4394	5638
438	4411	5637
439	4430	5638
440	4445	5634
441	4455	5625
442	4463	5612
443	4474	5603
444	4483	5591
445	4492	5580
446	4503	5571
447	4517	5566
448	4535	5566
449	4569	5585
450	4586	5583
451	4598	5574
452	4608	5565
453	4620	5556
454	4634	5551
455	4651	5549
456	4668	5547
457	4684	5543
458	4702	5542
459	4718	5539
460	4731	5531
461	4742	5522
462	4750	5509
463	4759	5498
464	4768	5486
465	4775	5472
466	4784	5460
467	4792	5447
468	4805	5440
469	4821	5437
470	4842	5438
471	4859	5435
472	4880	5437
473	4893	5430
474	4907	5424
475	4931	5428
476	4957	5435
477	4968	5425
478	4980	5417
479	4996	5412
480	5013	5409
481	5029	5405
482	5046	5401
483	5062	5396
484	5075	5389
485	5088	5381
486	5097	5369
487	5106	5357
488	5116	5346
489	5124	5333
490	5134	5322
491	5141	5308
492	5158	5304
493	5184	5310
494	5200	5305
495	5226	5311
496	5238	5301
497	5246	5289
498	5254	5275
499	5264	5264
500	5277	5255
501	5290	5248
502	5306	5243
503	5322	5238
504	5339	5233
505	5355	5228
506	5373	5224
507	5391	5221
508	5410	5218
509	5425	5213
510	5437	5203
511	5448	5193
512	5458	5181
513	5467	5169
514	5476	5157
515	5487	5147
516	5505	5143
517	5528	5144
518	5545	5139
519	5567	5139
520	5577	5127
521	5585	5114
522	5596	5103
523	5610	5096
524	5630	5093
525	5650	5091
526	5667	5086
527	5685	5082
528	5700	5075
529	5711	5065
530	5721	5053
531	5730	5040
532	5739	5028
533	5748	5016
534	5755	5002
535	5763	4989
536	5770	4975
537	5781	4964
538	5803	4963
539	5819	4957
540	5836	4952
541	5850	4943
542	5864	4935
543	5872	4922
544	5881	4910
545	5891	4898
546	5904	4889
547	5929	4890
548	5939	4879
549	5948	4867
550	5958	4855
551	5970	4845
552	5982	4835
553	5993	4825
554	6006	4815
555	6015	4804
556	6025	4792
557	6035	4780
558	6044	4768
559	6052	4755
560	6062	4743
561	6081	4739
562	6099	4734
563	6120	4731
564	6147	4733
565	6160	4723
566	6168	4710
567	6178	4699
568	6188	4687
569	6196	4674
570	6203	4660
571	6212	4648
572	6230	4642
573	6248	4637
574	6267	4632
575	6303	4640
576	6323	4635
577	6339	4628
578	6355	4621
579	6363	4608
580	6371	4595
581	6385	4586
582	6399	4577
583	6414	4569
584	6431	4562
585	6449	4556
586	6468	4551
587	6480	4540
588	6488	4527
589	6496	4514
590	6506	4502
591	6522	4495
592	6537	4486
593	6558	4482
594	6582	4480
595	6596	4471
596	6604	4458
597	6613	4445
598	6633	4440
599	6655	4436
600	6678	4433
601	6702	4431
602	6711	4418
603	6720	4405
604	6732	4395
605	6741	4383
606	6749	4370
607	6757	4356
608	6762	4341
609	6773	4330
610	6790	4323
611	6811	4318
612	6828	4311
613	6846	4304
614	6862	4295
615	6876	4286
616	6886	4274
617	6895	4262
618	6903	4249
619	6913	4237
620	6932	4230
621	6948	4222
622	6962	4213
623	6970	4200
624	6980	4188
625	6987	4174
626	6995	4161
627	7003	4148
628	7010	4135
629	7019	4122
630	7034	4113
631	7051	4105
632	7073	4100
633	7092	4094
634	7107	4085
635	7220	4132
636	7240	4125
637	7252	4115
638	7264	4104
639	7276	4093
640	7289	4082
641	7300	4071
642	7316	4062
643	7329	4051
644	7341	4040
645	7349	4027
646	7360	4016
647	7372	4004
648	7389	3996
649	7407	3988
650	7425	3980
651	7442	3972
652	7458	3963
653	7469	3951
654	7479	3939
655	7488	3927
656	7503	3917
657	7512	3904
658	7520	3891
659	7528	3878
660	7536	3865
661	7549	3854
662	7570	3848
663	7639	3865
664	7658	3857
665	7686	3854
666	7697	3842
667	7705	3829
668	7713	3816
669	7724	3804
670	7746	3797
671	7769	3792
672	7787	3783
673	7807	3776
674	7814	3762
675	7822	3749
676	7830	3735
677	7843	3724
678	7860	3715
679	7879	3707
680	7896	3698
681	7915	3690
682	7928	3679
683	7940	3668
684	7978	3669
685	7990	3657
686	7999	3644
687	8008	3631
688	8017	3618
689	8026	3606
690	8035	3593
691	8046	3581
692	8057	3569
693	8067	3557
694	8077	3544
695	8088	3532
696	8099	3520
697	8109	3508
698	8120	3496
699	8135	3486
700	8148	3475
701	8162	3464
702	8174	3453
703	8186	3442
704	8199	3430
705	8213	3420
706	8231	3411
707	8249	3402
708	8262	3391
709	8282	3382
710	8298	3373
711	8316	3364
712	8328	3352
713	8338	3340
714	8350	3328
715	8355	3314
716	8363	3300
717	8370	3287
718	8378	3274
719	8388	3262
720	8399	3250
721	8412	3239
722	8424	3227
723	8431	3214
724	8445	3203
725	8457	3192
726	8469	3180
727	8478	3167
728	8485	3154
729	8495	3142
730	8504	3129
731	8513	3117
732	8520	3103
733	8533	3092
734	8549	3082
735	8569	3073
736	8586	3064
737	8613	3057
738	8634	3049
739	8646	3037
740	8654	3025
741	8663	3012
742	8671	2999
743	8681	2987
744	8691	2974
745	8699	2962
746	8709	2949
747	8718	2937
748	8729	2925
749	8737	2912
750	8746	2900
751	8756	2887
752	8766	2875
753	8777	2863
754	8788	2851
755	8798	2839
756	8807	2827
757	8817	2815
758	8827	2803
759	8838	2791
760	8849	2779
761	8862	2767
762	8874	2756
763	8884	2744
764	8898	2733
765	8911	2722
766	8923	2710
767	8933	2698
768	8941	2686
769	8951	2673
770	8990	2670
771	9009	2660
772	9050	2657
773	9060	2645
774	9067	2632
775	9076	2620
776	9084	2607
777	9092	2594
778	9100	2581
779	9109	2569
780	9127	2559
781	9149	2550
782	9167	2540
783	9192	2532
784	9218	2524
785	9228	2512
786	9236	2499
787	9245	2487
788	9255	2475
789	9265	2463
790	9272	2450
791	9280	2437
792	9297	2426
793	9313	2416
794	9331	2406
795	9349	2396
796	9366	2385
797	9379	2374
798	9388	2361
